Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent;Keywords
22;GOL Linhas Aéreas;Analista de Projetos de TI I;São Paulo (SP);26/05 14:00;https://www.linkedin.com/jobs/view/4416837308/;https://media.licdn.com/dms/image/v2/D4D0BAQEwb_-PXunScQ/company-logo_100_100/B4DZv6TiQIHEAQ-/0/1769430984198/gol_logo?e=1781136000&v=beta&t=7ebpVURCbjR_JA_eRqfkQCEcyobzNX29fVTjBKlQJFI;Advanced > Specialist;https://www.linkedin.com/company/gol-linhas-a-reas/about/;Software e Serviços de TI;Gupy;gol linhas aéreas;1.0;https://www.linkedin.com/jobs/view/4416837308/;https://www.linkedin.com/jobs/view/4416837308/;Hybrid;Associate, TI/Tech;26/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
23;Gertec;Especialista de Produtos;São Paulo (SP);25/05 19:00;https://www.linkedin.com/jobs/view/4415246564/;https://media.licdn.com/dms/image/v2/D4D0BAQEDBLZB1GEvjQ/company-logo_100_100/company-logo_100_100/0/1712666662598/gertec_logo?e=1781136000&v=beta&t=pazsH4sVdBWjxtSyKsfLWcxR_tXwOVh72lfUzXpeDCw;Advanced > Specialist;https://www.linkedin.com/company/gertec/about/;-;;gertec;1;https://www.linkedin.com/jobs/view/4415246564/;https://www.linkedin.com/jobs/view/4415246564/;Hybrid;Specialist;26/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
24;Hikvision Brasil;Estágio de Produtos;Grande São Paulo (SP) ;26/05 14:00;https://www.linkedin.com/jobs/view/4416852186/;https://media.licdn.com/dms/image/v2/C4E0BAQG5TXvsxrpPog/company-logo_100_100/company-logo_100_100/0/1630605751901?e=1781136000&v=beta&t=7bOskbIqVjptebRwjpbRrakjUGfHA4Ll8NAQwIA0PL8;-;https://www.linkedin.com/company/hikvision-brasil/about/;-;;hikvision brasil;1;https://www.linkedin.com/jobs/view/4416852186/;https://www.linkedin.com/jobs/view/4416852186/;On-site;Intern;26/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
25;HostGator América Latina;Product Manager Senior (Hosting);Brasil;26/05 12:00;https://www.linkedin.com/jobs/view/4414952400/;https://media.licdn.com/dms/image/v2/C4D0BAQFa9JVeWTehZA/company-logo_100_100/company-logo_100_100/0/1630562335264/hostgator_latam_logo?e=1781136000&v=beta&t=w2K6Hnw7DeUtAowAd3eFD6pkv1Wa8z4MEFeHJKN8A6k;Produtos > Product Manager;https://www.linkedin.com/company/hostgator-am-rica-latina/about/;Software e Serviços de TI;Workday;hostgator américa latina;1.0;https://www.linkedin.com/jobs/view/4414952400/;https://www.linkedin.com/jobs/view/4414952400/;Remote;Senior, Liderança/Gerência, Product Owner/Product Manager;26/05/2026;;;;;Brasil;América do Sul;gerente produtos
26;Hotmart;Associate Product Manager;São Paulo (SP);26/05 10:00;https://www.linkedin.com/jobs/view/4419430055/;https://media.licdn.com/dms/image/v2/D4D0BAQG9AjmUNc5lgg/company-logo_100_100/B4DZY515wsGwAY-/0/1744727154307/hotmart_logo?e=1781136000&v=beta&t=I0xFikkHMvCeBSCIul2lD3vM4CiWxwI3AqTaferYoM8;Produtos > Product Manager;https://www.linkedin.com/company/hotmart/about/;-;Greenhouse;hotmart;5.0;https://www.linkedin.com/jobs/view/4419430055/;https://www.linkedin.com/jobs/view/4419430055/;On-site;Associate, Liderança/Gerência, Product Owner/Product Manager;26/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
27;IBM;Analista de produto - Junior;Hortolândia (SP);25/05 16:00;https://www.linkedin.com/jobs/view/4416821428/;https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_100_100/company-logo_100_100/0/1688684715866/ibm_logo?e=1781136000&v=beta&t=6LffQ9q47OIPyIyWxq1ERhOT6rFTLo8DO3zqBxcbnTA;Advanced > Specialist;https://www.linkedin.com/company/ibm/about/;-;careers.ibm.com;ibm;5.0;https://www.linkedin.com/jobs/view/4416821428/;https://www.linkedin.com/jobs/view/4416821428/;On-site;Junior, Associate;26/05/2026;Hortolândia;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
28;IBM;Analista de produto - Junior;São Paulo (SP);26/05 11:00;https://www.linkedin.com/jobs/view/4416830010/;https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_100_100/company-logo_100_100/0/1688684715866/ibm_logo?e=1781136000&v=beta&t=6LffQ9q47OIPyIyWxq1ERhOT6rFTLo8DO3zqBxcbnTA;Advanced > Specialist;https://www.linkedin.com/company/ibm/about/;-;careers.ibm.com;ibm;5.0;https://www.linkedin.com/jobs/view/4416830010/;https://www.linkedin.com/jobs/view/4416830010/;On-site;Junior, Associate;26/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
29;Inmetrics;PRODUCT MANAGER SR - Remoto;Brasil;26/05 09:00;https://www.linkedin.com/jobs/view/4418243769/;https://media.licdn.com/dms/image/v2/D4D0BAQEqt5Ncvu87pQ/company-logo_100_100/B4DZuyY6kJJgAU-/0/1768224434842/inmetrics_logo?e=1781136000&v=beta&t=q0SzSMuVaCWM8sieOJaiynNrfcUrZTOxXMH6U4vaDQk;Produtos > Product Manager;https://www.linkedin.com/company/inmetrics/about/;-;;inmetrics;1;https://www.linkedin.com/jobs/view/4418243769/;https://www.linkedin.com/jobs/view/4418243769/;Remote;Senior, Liderança/Gerência, Product Owner/Product Manager;26/05/2026;;;;;Brasil;América do Sul;gerente produtos
30;Itaú Unibanco;Analista de Produtos Digitais Sênior PJ;São Paulo (SP);25/05 18:00;https://www.linkedin.com/jobs/view/4418996431/;https://media.licdn.com/dms/image/v2/D4D0BAQGmyPiGIU-69w/company-logo_100_100/B4DZZFc2k4GgAQ-/0/1744921914031/itau_logo?e=1781136000&v=beta&t=9YEt4CP1KPpEB5fqIzRiVvaIgnBcd6PgAHvWT9pxaYo;Advanced > Specialist;https://www.linkedin.com/company/ita-unibanco/about/;Serviços Financeiros;carreiras.itau.com.br;itaú unibanco;5.0;https://www.linkedin.com/jobs/view/4418996431/;https://www.linkedin.com/jobs/view/4418996431/;Hybrid;Freelance/PJ, Senior, Associate;26/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
31;Jeeves;Product Manager, Stablecoin & Digital Assets (copy);São Paulo (SP);25/05 16:00;https://www.linkedin.com/jobs/view/4416322466/;https://media.licdn.com/dms/image/v2/C4E0BAQHr6HDhtgWR-Q/company-logo_100_100/company-logo_100_100/0/1670865559521/tryjeeves_logo?e=1781136000&v=beta&t=6ymYP4yezQCGy80kc7C2AF6cACizv3VXmaTR9EyBrbg;Produtos > Product Manager;https://www.linkedin.com/company/jeeves/about/;Software e Serviços de TI;;jeeves;1.0;https://www.linkedin.com/jobs/view/4416322466/;https://www.linkedin.com/jobs/view/4416322466/;Remote;Liderança/Gerência, TI/Tech, Product Owner/Product Manager;26/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
