Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
13;BTG Pactual;Project Manager- Escrituração;São Paulo (SP);01/05 09:00;https://www.linkedin.com/jobs/view/4399888966/;https://media.licdn.com/dms/image/v2/C4E0BAQE0wyub1rswiA/company-logo_100_100/company-logo_100_100/0/1654720569889/btgpactual_logo?e=1779321600&v=beta&t=tsqDmUAh2QXsJdyQeIKIQ7l4RBT8BfjmFT7qOgvgFKg;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/btg-pactual/about/;IT;carreiras.btgpactual.com;btg pactual;4.0;https://www.linkedin.com/jobs/view/4399888966/;https://carreiras.btgpactual.com/vagas/client-services/project-manager-escrituracao/5850328004;On-site;Liderança/Gerência;02/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
14;Boston Consulting Group (BCG);Inverto - (Senior) Project Manager, Procurement;São Paulo (SP);01/05 09:00;https://www.linkedin.com/jobs/view/4397631424/;https://media.licdn.com/dms/image/v2/D4E0BAQE_RmtwzBSpAg/company-logo_100_100/company-logo_100_100/0/1702568604682/boston_consulting_group_logo?e=1779321600&v=beta&t=K1L2arS7uiLlhkK18luckDBIV0KgaS0FsCn7G6A_7Rk;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/boston-consulting-group-bcg/about/;Consulting;careers.bcg.com;boston consulting group (bcg);4.0;https://www.linkedin.com/jobs/view/4397631424/;;On-site;Senior, Liderança/Gerência;02/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
15;Bradesco Seguros;PESSOA COORDENADOR(A) PROJETOS CX;São Paulo (SP);01/05 09:00;https://www.linkedin.com/jobs/view/4396333061/;https://media.licdn.com/dms/image/v2/D4D0BAQEeHxLqJG1jtQ/img-crop_100/img-crop_100/0/1733020366245?e=1779321600&v=beta&t=2YbFzyUbmYWWy1rjcdUChc19jjIirjX4mVt7RB2mASk;Middle > Manager;https://www.linkedin.com/company/bradesco-seguros/about/;Finance;bradesco.csod.com;bradesco seguros;1.0;https://www.linkedin.com/jobs/view/4396333061/;https://bradesco.csod.com/ux/ats/careersite/3/home/requisition/83634?c=bradesco&source=LinkedIn;Hybrid;PCD / Afirmativa, Mid, Liderança/Gerência;02/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
16;C&A Brasil;Gerente de Produto- Plus size;Barueri (SP);01/05 10:00;https://www.linkedin.com/jobs/view/4407204140/;https://media.licdn.com/dms/image/v2/D4E0BAQFloo8MBP1MZA/company-logo_100_100/B4EZ0GmpdIIsAY-/0/1773932288493/ca_brasil_logo?e=1779321600&v=beta&t=DoBzb0y-dXx45RcOVJOeMY-gS41OBcR8US-sbHldHl0;Middle > Manager;https://www.linkedin.com/company/c-a-brasil/about/;Marketing;Gupy;c&a brasil;1.0;https://www.linkedin.com/jobs/view/4407204140/;https://cea.gupy.io/job/eyJqb2JJZCI6MTEyMjQxNDQsInNvdXJjZSI6ImxpbmtlZGluIn0=?jobBoardSource=linkedin;Hybrid;Mid, Liderança/Gerência;02/05/2026;Barueri;São Paulo;SP;Região Sudeste;Brasil;América do Sul
17;COPAG - Cartamundi Entertainment;Analista de Produtos Sênior (Games);São Paulo (SP);01/05 10:00;https://www.linkedin.com/jobs/view/4406799153/;https://media.licdn.com/dms/image/v2/C4E0BAQEov5KdCWc_6A/company-logo_100_100/company-logo_100_100/0/1630605360958/copag_cartamundi_logo?e=1779321600&v=beta&t=HQeie5fdCdsf_DeaW6v81lDAyN89bD7KczMma9rq-0c;Advanced > Specialist;https://www.linkedin.com/company/copag-cartamundi-entertainment/about/;Marketing;Gupy;copag - cartamundi entertainment;1.0;https://www.linkedin.com/jobs/view/4406799153/;https://copag.gupy.io/job/eyJqb2JJZCI6MTEyMjQ5MjMsInNvdXJjZSI6ImxpbmtlZGluIn0=?jobBoardSource=linkedin;Hybrid;Senior, Associate;02/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
18;Capco;PMO OPERACIONAL (FINANCEIRO) - Junior | Híbrido Fortaleza - CE;São Paulo (SP);01/05 09:00;https://www.linkedin.com/jobs/view/4388105179/;https://media.licdn.com/dms/image/v2/D560BAQGRr0gl6aqDEQ/company-logo_100_100/B56ZfLXYIjHUAQ-/0/1751463592988/capco_logo?e=1779321600&v=beta&t=D4vf1emfOje3jogVHiHU42HLSygKfIEJzF1kGjnY2QE;Produtos > Product Manager;https://www.linkedin.com/company/capco/about/;Finance;Greenhouse;capco;1.0;https://www.linkedin.com/jobs/view/4388105179/;https://job-boards.greenhouse.io/capco/jobs/7733297?src=Linkedin;Hybrid;Junior, PMO, Financeiro/Fiscal;02/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
19;Capco;PMO OPERACIONAL (INFRA) - Pleno | Híbrido Fortaleza - CE;São Paulo (SP);01/05 09:00;https://www.linkedin.com/jobs/view/4388100294/;https://media.licdn.com/dms/image/v2/D560BAQGRr0gl6aqDEQ/company-logo_100_100/B56ZfLXYIjHUAQ-/0/1751463592988/capco_logo?e=1779321600&v=beta&t=D4vf1emfOje3jogVHiHU42HLSygKfIEJzF1kGjnY2QE;Produtos > Product Manager;https://www.linkedin.com/company/capco/about/;Other;Greenhouse;capco;1.0;https://www.linkedin.com/jobs/view/4388100294/;https://job-boards.greenhouse.io/capco/jobs/7733456?src=Linkedin;Hybrid;Mid, PMO;02/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
20;Capco;PMO OPERACIONAL (INSTALAÇÕES) - Pleno | Híbrido Fortaleza - CE;São Paulo (SP);01/05 09:00;https://www.linkedin.com/jobs/view/4387885842/;https://media.licdn.com/dms/image/v2/D560BAQGRr0gl6aqDEQ/company-logo_100_100/B56ZfLXYIjHUAQ-/0/1751463592988/capco_logo?e=1779321600&v=beta&t=D4vf1emfOje3jogVHiHU42HLSygKfIEJzF1kGjnY2QE;Produtos > Product Manager;https://www.linkedin.com/company/capco/about/;Other;Greenhouse;capco;1.0;https://www.linkedin.com/jobs/view/4387885842/;https://job-boards.greenhouse.io/capco/jobs/7733393?src=Linkedin;Hybrid;Mid, PMO;02/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
21;Capco;PMO OPERACIONAL- PRODUÇÃO E SSMA - Pleno | Híbrido Fortaleza - CE;São Paulo (SP);01/05 09:00;https://www.linkedin.com/jobs/view/4387885833/;https://media.licdn.com/dms/image/v2/D560BAQGRr0gl6aqDEQ/company-logo_100_100/B56ZfLXYIjHUAQ-/0/1751463592988/capco_logo?e=1779321600&v=beta&t=D4vf1emfOje3jogVHiHU42HLSygKfIEJzF1kGjnY2QE;Produtos > Product Manager;https://www.linkedin.com/company/capco/about/;Manufacturing;Greenhouse;capco;1.0;https://www.linkedin.com/jobs/view/4387885833/;https://job-boards.greenhouse.io/capco/jobs/7733485?src=Linkedin;Hybrid;Mid, PMO;02/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
22;Capgemini;Gerente Projetos TI - Sênior;Barueri (SP);01/05 14:00;https://www.linkedin.com/jobs/view/4409420719/;https://media.licdn.com/dms/image/v2/D4E0BAQHIL3HctxNfvg/company-logo_100_100/B4EZokv7VQIUAQ-/0/1761553135376/capgemini_logo?e=1779321600&v=beta&t=tyDk8Ne8EzBNQKzdQLOS6hsFN6eBpU-lv2XUpr4Wp4o;Middle > Manager;https://www.linkedin.com/company/capgemini/about/;Consumer;www.linkedin.com;capgemini;4.0;https://www.linkedin.com/jobs/view/4409420719/;https://www.linkedin.com/jobs/view/4396333061/;Hybrid;Senior, Mid, Liderança/Gerência, TI/Tech;02/05/2026;Barueri;São Paulo;SP;Região Sudeste;Brasil;América do Sul
