Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
11;Avanade;Service Delivery Manager Sênior | Microsoft Dynamics 365 & Power Platform (English Required);Nova Lima (MG);29/04 21:00;https://www.linkedin.com/jobs/view/4408703093/;https://media.licdn.com/dms/image/v2/D4D0BAQH9oEH9vWAthw/company-logo_100_100/B4DZf0WkqfH8AY-/0/1752151247860/avanade_logo?e=1779321600&v=beta&t=ESx1mL4qWeXBD9sYNzhPVH6RQiMjA4VfY9cuM0BkNNc;Operations > Delivery Manager;https://www.linkedin.com/company/avanade/about/;Other;www.avanade.com;avanade;3.0;https://www.linkedin.com/jobs/view/4408703093/;https://www.avanade.com/en/career/job-details/R00327765?source=LinkedIn;On-site;Senior, Liderança/Gerência, Delivery/SDM;30/04/2026;Nova Lima;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul
12;BIP Brasil;Analista de Gerenciamento de Contratos de O&G;Brasil;30/04 08:00;https://www.linkedin.com/jobs/view/4406464621/;https://media.licdn.com/dms/image/v2/D4D0BAQGE5iaedEP2bQ/company-logo_100_100/company-logo_100_100/0/1689009879405/bipbrasil_logo?e=1779321600&v=beta&t=_A5Umqw4RHG5n09qtx5pWeOY1GFdqRrk2vUtgW5uuyM;Advanced > Specialist;https://www.linkedin.com/company/bip-brasil/about/;Other;Gupy;bip brasil;1.0;https://www.linkedin.com/jobs/view/4406464621/;https://vemprabip.gupy.io/job/eyJqb2JJZCI6MTEyMTEyMDUsInNvdXJjZSI6ImxpbmtlZGluIn0=?jobBoardSource=linkedin;Remote;Associate;30/04/2026;;;;;Brasil;América do Sul
13;BRQ Digital Solutions;Analista de Projetos e Operações (Mainframe | Control-M) – 24x7;SP;30/04 11:00;https://www.linkedin.com/jobs/view/4406484432/;https://media.licdn.com/dms/image/v2/D4D0BAQHsHMIGkFifsw/company-logo_100_100/B4DZwerWdfIoAQ-/0/1770041207049/brq_logo?e=1779321600&v=beta&t=7R03M3NgZUQyK7kflLHmS-MC_gcvmfIy1ILE8Jxxxw4;Advanced > Specialist;https://www.linkedin.com/company/brq-digital-solutions/about/;IT;LinkedIn (Easy Apply);brq digital solutions;1.0;https://www.linkedin.com/jobs/view/4406484432/;https://www.linkedin.com/jobs/view/4406484432/;Hybrid;Associate, Mainframe;30/04/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
14;BTG Pactual;PM Senior | IT Products;São Paulo (SP);29/04 17:00;https://www.linkedin.com/jobs/view/4382319467/;https://media.licdn.com/dms/image/v2/C4E0BAQE0wyub1rswiA/company-logo_100_100/company-logo_100_100/0/1654720569889/btgpactual_logo?e=1779321600&v=beta&t=tsqDmUAh2QXsJdyQeIKIQ7l4RBT8BfjmFT7qOgvgFKg;Produtos > Product Manager;https://www.linkedin.com/company/btg-pactual/about/;IT;carreiras.btgpactual.com;btg pactual;4.0;https://www.linkedin.com/jobs/view/4382319467/;https://carreiras.btgpactual.com/vagas/tech-development/pm-senior-it-products/5821308004;Hybrid;Senior, Product Owner/Product Manager;30/04/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
15;Bain & Company;Manager, Solution Delivery - NGSS ASTER;São Paulo (SP);30/04 13:00;https://www.linkedin.com/jobs/view/4409016612/;https://media.licdn.com/dms/image/v2/D560BAQHJWWQNCmnqKg/company-logo_100_100/company-logo_100_100/0/1719929153718/bain_and_company_logo?e=1779321600&v=beta&t=FzYnmWOAwGG_diBaMNVDLeTl8-cAeqdv9UzFn_2rH8Q;Middle > Manager;https://www.linkedin.com/company/bain-company/about/;Consulting;careers.bain.com;bain & company;4.0;https://www.linkedin.com/jobs/view/4409016612/;https://careers.bain.com/jobs/FolderDetail?folderId=105121&source=Linked-In;Hybrid;Liderança/Gerência, Delivery/SDM;30/04/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
16;Banco Rendimento;Analista de Projetos Sênior (PO) (489631);São Paulo (SP);29/04 23:00;https://www.linkedin.com/jobs/view/4407314067/;https://media.licdn.com/dms/image/v2/C4D0BAQE5g1-cBq6-Dw/company-logo_100_100/company-logo_100_100/0/1671191983567/banco_rendimento_logo?e=1779321600&v=beta&t=l50PJtBkb543ule_dD_3YomCWh1JKLoi3xzzFK7W66U;Advanced > Specialist;https://www.linkedin.com/company/banco-rendimento/about/;Finance;rendimentocarreiras.99jobs.com;banco rendimento;1.0;https://www.linkedin.com/jobs/view/4407314067/;https://rendimentocarreiras.99jobs.com/vagas/489631-analista-de-projetos-senior-po?source=linkedin;Hybrid;Senior, Associate, Product Owner/Product Manager;30/04/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
17;Beto Carrero World;Especialista em Novos Projetos 🤠;Penha (SC);29/04 20:00;https://www.linkedin.com/jobs/view/4407096276/;https://media.licdn.com/dms/image/v2/D4D0BAQGX8luZkS82Ag/company-logo_100_100/company-logo_100_100/0/1710267773232/beto_carrero_world_logo?e=1779321600&v=beta&t=i_VUT2Fkw4-gAHQ8n4mYugGAJTvUFCvmXeyv_p1yhmI;Advanced > Specialist;https://www.linkedin.com/company/beto-carrero-world/about/;Marketing;Senior;beto carrero world;1.0;https://www.linkedin.com/jobs/view/4407096276/;https://platform.senior.com.br/hcmrs/hcm/curriculo/?tenant=betocarrerocombr&tenantdomain=betocarrero.com.br&vacancyId=4ba0bf50-b710-47f5-a6a5-b454c4bddb47&fromRecruitment=false#!/vacancies/details/4ba0bf50-b710-47f5-a6a5-b454c4bddb47/?order=HIGHLIGHT&page=0&fromRecruitment=false;On-site;Specialist;30/04/2026;Penha;Santa Catarina;SC;Região Sul;Brasil;América do Sul
18;Blueticket;Product Manager (PM) – SaaS;Florianópolis (SC);30/04 11:00;https://www.linkedin.com/jobs/view/4406414842/;https://media.licdn.com/dms/image/v2/C4D0BAQGXGyZrfbJNww/company-logo_100_100/company-logo_100_100/0/1630483474125/blueticket_br__logo?e=1779321600&v=beta&t=9uicd8eNg3CFvRTz4W3M3HGmHYYe3SIBwORIbLe86ns;Produtos > Product Manager;https://www.linkedin.com/company/blueticket/about/;IT;LinkedIn (Easy Apply);blueticket;1.0;https://www.linkedin.com/jobs/view/4406414842/;https://www.linkedin.com/jobs/view/4406414842/;Hybrid;Liderança/Gerência, Product Owner/Product Manager;30/04/2026;Florianópolis;Santa Catarina;SC;Região Sul;Brasil;América do Sul
19;CAST;ELAS IN TECH | GERENTE DE PROJETOS;Porto Alegre (RS);30/04 11:00;https://www.linkedin.com/jobs/view/4408784851/;https://media.licdn.com/dms/image/v2/D4D0BAQEJpAnzKI9J0Q/company-logo_100_100/B4DZiq5tb7HYAQ-/0/1755213912214/cast_group_logo?e=1779321600&v=beta&t=K9LpH4TMCNaDU8k1EGZT0NPJftlHu9-9WyBJ2K5aPzE;Middle > Manager;https://www.linkedin.com/company/cast/about/;IT;LinkedIn (Easy Apply);cast;1.0;https://www.linkedin.com/jobs/view/4408784851/;https://www.linkedin.com/jobs/view/4408784851/;Hybrid;Mid, Liderança/Gerência, TI/Tech;30/04/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
20;CI&T;Gerente Senior, Brasil.;Brasil;30/04 10:00;https://www.linkedin.com/jobs/view/4408787514/;https://media.licdn.com/dms/image/v2/D4D0BAQGLvQL_ujmJgA/company-logo_100_100/B4DZi9QI7xHwAc-/0/1755521781937/ciandt_logo?e=1779321600&v=beta&t=_E25P02-bBqUM8-NRM6OSepK3jyKG0_x254yolspxTM;Middle > Manager;https://www.linkedin.com/company/ci-t/about/;Other;LinkedIn (Easy Apply);ci&t;4.0;https://www.linkedin.com/jobs/view/4408787514/;https://www.linkedin.com/jobs/view/4408787514/;Remote;Senior, Mid, Liderança/Gerência;30/04/2026;;;;;Brasil;América do Sul
21;CI&T;Senior Manager;Brasil;30/04 15:00;https://www.linkedin.com/jobs/view/4409043333/;https://media.licdn.com/dms/image/v2/D4D0BAQGLvQL_ujmJgA/company-logo_100_100/B4DZi9QI7xHwAc-/0/1755521781937/ciandt_logo?e=1779321600&v=beta&t=_E25P02-bBqUM8-NRM6OSepK3jyKG0_x254yolspxTM;Middle > Manager;https://www.linkedin.com/company/ci-t/about/;Other;LinkedIn (Easy Apply);ci&t;4.0;https://www.linkedin.com/jobs/view/4409043333/;https://www.linkedin.com/jobs/view/4409043333/;Remote;Senior, Liderança/Gerência;30/04/2026;;;;;Brasil;América do Sul
22;CI&T;Senior Project Manager, Campinas, Brasil (Hybrid);Campinas (SP);29/04 21:00;https://www.linkedin.com/jobs/view/4408589262/;https://media.licdn.com/dms/image/v2/D4D0BAQGLvQL_ujmJgA/company-logo_100_100/B4DZi9QI7xHwAc-/0/1755521781937/ciandt_logo?e=1779321600&v=beta&t=_E25P02-bBqUM8-NRM6OSepK3jyKG0_x254yolspxTM;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/ci-t/about/;Marketing;LinkedIn (Easy Apply);ci&t;4.0;https://www.linkedin.com/jobs/view/4408589262/;https://www.linkedin.com/jobs/view/4408589262/;Hybrid;Senior, Liderança/Gerência;30/04/2026;Campinas;São Paulo;SP;Região Sudeste;Brasil;América do Sul
23;Capitani Group;Gerente de projetos sênior;Porto Alegre (RS);30/04 12:00;https://www.linkedin.com/jobs/view/4409019199/;https://media.licdn.com/dms/image/v2/C4D0BAQFNPiKzvjH9cQ/company-logo_100_100/company-logo_100_100/0/1650388372873/capitani_logo?e=1779321600&v=beta&t=TKUnxSF6teQZwbiiF9bvkAmuDtUPNaQIXgwko3dt54w;Middle > Manager;https://www.linkedin.com/company/capitani-group/about/;IT;LinkedIn (Easy Apply);capitani group;1.0;https://www.linkedin.com/jobs/view/4409019199/;https://www.linkedin.com/jobs/view/4409019199/;Hybrid;Senior, Mid, Liderança/Gerência;30/04/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
24;Capitani Group;PMO sênior;Porto Alegre (RS);30/04 11:00;https://www.linkedin.com/jobs/view/4409016129/;https://media.licdn.com/dms/image/v2/C4D0BAQFNPiKzvjH9cQ/company-logo_100_100/company-logo_100_100/0/1650388372873/capitani_logo?e=1779321600&v=beta&t=TKUnxSF6teQZwbiiF9bvkAmuDtUPNaQIXgwko3dt54w;Produtos > Product Manager;https://www.linkedin.com/company/capitani-group/about/;IT;LinkedIn (Easy Apply);capitani group;1.0;https://www.linkedin.com/jobs/view/4409016129/;https://www.linkedin.com/jobs/view/4409016129/;Hybrid;Senior, PMO;30/04/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
25;Compass UOL;Delivery Manager (Financial) | SR (Remote);Brasil;30/04 12:00;https://www.linkedin.com/jobs/view/4409003484/;https://media.licdn.com/dms/image/v2/D4D0BAQGS2dYkE6pQUA/company-logo_100_100/B4DZ2b.l4WIkAY-/0/1776438370262/compass_uol_logo?e=1779321600&v=beta&t=psJe7ERWtR7Z9JKZ03LcBE0UhF80BQ126BmQlaDz9ks;Operations > Delivery Manager;https://www.linkedin.com/company/compass-uol/about/;Other;Gupy;compass uol;4.0;https://www.linkedin.com/jobs/view/4409003484/;https://compass.gupy.io/jobs/11206906?jobBoardSource=linkedin;Remote;Senior, Liderança/Gerência, Delivery/SDM;30/04/2026;;;;;Brasil;América do Sul
26;Concentrix;Change & Productivity Manager;Curitiba (PR);29/04 17:00;https://www.linkedin.com/jobs/view/4348083045/;https://media.licdn.com/dms/image/v2/D4E0BAQEI2aF8Itqj0g/company-logo_100_100/company-logo_100_100/0/1713811406614/concentrix_logo?e=1779321600&v=beta&t=xvwKFWCYgS6vKgk5aqZr9TNjYJcpYy_rD9584q8LftU;Middle > Manager;https://www.linkedin.com/company/concentrix/about/;IT;Workday;concentrix;3.0;https://www.linkedin.com/jobs/view/4348083045/;https://cnx.wd1.myworkdayjobs.com/external_global/job/BRA-Sao-Paulo---Rua-Arquiteto-Olavo-Redig-de-Campos/Change---Productivity-Manager_R1659906?src=LinkedIn;On-site;Liderança/Gerência;30/04/2026;Curitiba;Paraná;PR;Região Sul;Brasil;América do Sul
27;Contabilizei;[Tecnologia] Coordenador(a) de Processos e Ferramentas | Jira;Brasil;29/04 17:00;https://www.linkedin.com/jobs/view/4399461373/;https://media.licdn.com/dms/image/v2/C4D0BAQFIobDmaNDEGg/company-logo_100_100/company-logo_100_100/0/1660682467689/contabilizei_logo?e=1779321600&v=beta&t=zBlDyuhY7BxhrYvC1TkDqkeiNYNc_OTEbDNlO8L6Cb4;Middle > Manager;https://www.linkedin.com/company/contabilizei/about/;IT;Inhire;contabilizei;1.0;https://www.linkedin.com/jobs/view/4399461373/;https://contabilizei.inhire.app/vagas/98bfa7bf-fa2b-4723-aef1-c84e0b1a3be2/tecnologia-coordenador-a-de-processos-e-ferramentas-or-jira?source=linkedin;Remote;Mid, Liderança/Gerência, TI/Tech, Processos/Excelência;30/04/2026;;;;;Brasil;América do Sul
28;DBC Company;Gerente de Projetos Sênior;São Paulo (SP);30/04 16:00;https://www.linkedin.com/jobs/view/4407608849/;https://media.licdn.com/dms/image/v2/C4D0BAQFszK2MGQUCUA/company-logo_100_100/company-logo_100_100/0/1668687291660?e=1779321600&v=beta&t=DBx0sWcBuB8jIMi5Pnz5EtNyQ_WPyjzq8UMQBLIBCxM;Middle > Manager;https://www.linkedin.com/company/dbc-company/about/;Marketing;Vagas.com;dbc company;1.0;https://www.linkedin.com/jobs/view/4407608849/;https://vagas.dbccompany.com.br/vagas/304484;On-site;Senior, Mid, Liderança/Gerência;30/04/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
29;DOT - Assessoria de marketing;Account Manager/Gestor de Projetos | Presencial;Porto Alegre (RS);30/04 14:00;https://www.linkedin.com/jobs/view/4405256277/;https://media.licdn.com/dms/image/v2/D4D0BAQGEUT0acaMW0w/company-logo_100_100/company-logo_100_100/0/1726250774979/dotconceito_logo?e=1779321600&v=beta&t=SW4Rp5SktIPHHvayL2cbG0-eb21CYAbfTxjP8_6VKtg;Specific > Sales > Account;https://www.linkedin.com/company/dot-assessoria-de-marketing/about/;Consulting;id-preview--22aab396-c576-44ad-9fd3-54c15353221b.lovable.app;dot - assessoria de marketing;1.0;https://www.linkedin.com/jobs/view/4405256277/;https://id-preview--22aab396-c576-44ad-9fd3-54c15353221b.lovable.app/carreiras/vaga/c153a8e2-72c2-478a-b027-fd738d57fe8f;On-site;Liderança/Gerência, Executivo de Contas;30/04/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
30;Deloitte;Consultor(a)Funcional Pleno SAP SuccessFactors (PM/GM /LMS /REC/ONB/COMPENSATION) | Recife;Brasil;29/04 17:00;https://www.linkedin.com/jobs/view/4399424388/;https://media.licdn.com/dms/image/v2/C560BAQGNtpblgQpJoQ/company-logo_100_100/company-logo_100_100/0/1662120928214/deloitte_logo?e=1779321600&v=beta&t=oSUVJRYtYX7q66VKemWFyqbMapY-2q5tkmR6nRKlqWk;Advanced > Specialist;https://www.linkedin.com/company/deloitte/about/;IT;Inhire;deloitte;4.0;https://www.linkedin.com/jobs/view/4399424388/;https://deloitte.inhire.app/vagas/c0824722-8007-4837-b1ed-586a5705a496/consultorafuncional-pleno-sap-successfactors-pmgm-lms-reconbcompensation-or-recife?source=linkedin;Remote;Mid, Consultor, SAP, Product Owner/Product Manager;30/04/2026;;;;;Brasil;América do Sul
31;Divisão Comércio - Grupo Águia Branca;Líder Kaizen - Brasília/DF;Brasília (DF);30/04 17:00;https://www.linkedin.com/jobs/view/4409059860/;https://media.licdn.com/dms/image/v2/D4E0BAQHwT3S2q1OvKw/company-logo_100_100/B4EZuU3axDLMAQ-/0/1767729114644/diviso_comrcio_logo?e=1779321600&v=beta&t=eZ_f9AgMX7cd6L2ssrnbNVeoRq4Ndrw_OKy46ROyE9I;-;https://www.linkedin.com/company/divis-o-com-rcio-grupo-guia-branca/about/;Retail;www.empregare.com;divisão comércio - grupo águia branca;1.0;https://www.linkedin.com/jobs/view/4409059860/;https://www.empregare.com/pt-br/vaga-lider-kaizen-brasilia-df_159308?source=linkedin;On-site;Mid, Liderança/Gerência, Coach;30/04/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul
32;EY;Scrum Master Pleno;Recife (PE);29/04 17:00;https://www.linkedin.com/jobs/view/4321730119/;https://media.licdn.com/dms/image/v2/C510BAQGpRhkpxp5A9A/company-logo_100_100/company-logo_100_100/0/1630570672166/ernstandyoung_logo?e=1779321600&v=beta&t=pi7fI6eKDUTTasDTzb4xh1ZRqLdgAv92BezsrcE8Dy4;Agility > Scrum Master;https://www.linkedin.com/company/ey/about/;Other;careers.ey.com;ey;1.0;https://www.linkedin.com/jobs/view/4321730119/;https://careers.ey.com/ey/job/S%C3%A3o-Paulo-JK-Scrum-Master-Pleno-S%C3%A3o-04543-011/1265913601/?feedId=353401&utm_source=LinkedInJobPostings&utm_campaign=j2w_linkedin;On-site;Mid, Scrum/Agile;30/04/2026;Recife;Pernambuco;PE;Região Nordeste;Brasil;América do Sul
33;Empresa Confidencial;Analista de Projetos Sênior;São Paulo (SP);30/04 13:00;https://www.linkedin.com/jobs/view/4407606340/;https://media.licdn.com/dms/image/v2/D4D0BAQE5LKe2moMnHg/company-logo_100_100/company-logo_100_100/0/1736630274411/empresa_confidencial_logo?e=1779321600&v=beta&t=1Vd3ZENXVgImAH9vogfP89Xs-IFNt22mfZ3dG7ROpUc;Advanced > Specialist;https://www.linkedin.com/company/empresa-confidencial/about/;Marketing;LinkedIn (Easy Apply);empresa confidencial;1.0;https://www.linkedin.com/jobs/view/4407606340/;https://www.linkedin.com/jobs/view/4407606340/;Hybrid;Senior, Associate;30/04/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
34;Fanatics;Project & Production Manager;São Paulo (SP);29/04 17:00;https://www.linkedin.com/jobs/view/4399287879/;https://media.licdn.com/dms/image/v2/D4E0BAQGxucH72bG6hw/company-logo_100_100/B4EZbPpbY8HwAQ-/0/1747240466631/fanatics_inc__logo?e=1779321600&v=beta&t=FpvG885DSpha-mC2grhzSiPeSQCQLFCMKGuhBMxkDjw;Middle > Manager;https://www.linkedin.com/company/fanatics/about/;IT;Greenhouse;fanatics;1.0;https://www.linkedin.com/jobs/view/4399287879/;https://job-boards.greenhouse.io/fanaticscollectibles/jobs/4208347009?gh_src=nb42vdq09us;On-site;Liderança/Gerência;30/04/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
35;GE Vernova;Contract Admin Specialist;Grande São Paulo (SP) ;29/04 18:00;https://www.linkedin.com/jobs/view/4408561472/;https://media.licdn.com/dms/image/v2/D4E0BAQG3fXAI-jYu5A/company-logo_100_100/company-logo_100_100/0/1681910638687/gevernova_logo?e=1779321600&v=beta&t=WwZx1GJMY4f3aI6Stf4IZehHr4IyQUgzvZvmWF0Gh7g;Advanced > Specialist;https://www.linkedin.com/company/ge-vernova/about/;Other;careers.gevernova.com;ge vernova;1.0;https://www.linkedin.com/jobs/view/4408561472/;https://careers.gevernova.com/de/contract-admin-specialist/job/R5040222;On-site;Freelance/PJ, Specialist;30/04/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
